,ENO_total,FBA1_total,FBA2_total,GAPD_total,PGK_total,PGMd_total,PGMi_total,TPI_total
1179,1,2,2,3,2,3,1,1
1180,1,2,2,3,2,3,1,2
1181,1,2,2,3,2,3,1,3
1182,1,2,2,3,2,3,2,1
1183,1,2,2,3,2,3,2,2
1184,1,2,2,3,2,3,2,3
1185,1,2,2,3,2,3,3,1
1186,1,2,2,3,2,3,3,2
1187,1,2,2,3,2,3,3,3
1188,1,2,2,3,3,1,1,1
1189,1,2,2,3,3,1,1,2
1190,1,2,2,3,3,1,1,3
1191,1,2,2,3,3,1,2,1
1192,1,2,2,3,3,1,2,2
1193,1,2,2,3,3,1,2,3
1194,1,2,2,3,3,1,3,1
1195,1,2,2,3,3,1,3,2
1196,1,2,2,3,3,1,3,3
1197,1,2,2,3,3,2,1,1
1198,1,2,2,3,3,2,1,2
1199,1,2,2,3,3,2,1,3
1200,1,2,2,3,3,2,2,1
1201,1,2,2,3,3,2,2,2
1202,1,2,2,3,3,2,2,3
1203,1,2,2,3,3,2,3,1
1204,1,2,2,3,3,2,3,2
1205,1,2,2,3,3,2,3,3
1206,1,2,2,3,3,3,1,1
1207,1,2,2,3,3,3,1,2
1208,1,2,2,3,3,3,1,3
1209,1,2,2,3,3,3,2,1
1210,1,2,2,3,3,3,2,2
1211,1,2,2,3,3,3,2,3
1212,1,2,2,3,3,3,3,1
1213,1,2,2,3,3,3,3,2
1214,1,2,2,3,3,3,3,3
1296,1,2,3,2,1,1,1,1
1297,1,2,3,2,1,1,1,2
1298,1,2,3,2,1,1,1,3
1299,1,2,3,2,1,1,2,1
1300,1,2,3,2,1,1,2,2
1301,1,2,3,2,1,1,2,3
1302,1,2,3,2,1,1,3,1
1303,1,2,3,2,1,1,3,2
1304,1,2,3,2,1,1,3,3
1305,1,2,3,2,1,2,1,1
1306,1,2,3,2,1,2,1,2
1311,1,2,3,2,1,2,3,1
1312,1,2,3,2,1,2,3,2
1313,1,2,3,2,1,2,3,3
1314,1,2,3,2,1,3,1,1
1315,1,2,3,2,1,3,1,2
1316,1,2,3,2,1,3,1,3
1317,1,2,3,2,1,3,2,1
1318,1,2,3,2,1,3,2,2
1319,1,2,3,2,1,3,2,3
1320,1,2,3,2,1,3,3,1
1321,1,2,3,2,1,3,3,2
1322,1,2,3,2,1,3,3,3
1323,1,2,3,2,2,1,1,1
1324,1,2,3,2,2,1,1,2
1325,1,2,3,2,2,1,1,3
1326,1,2,3,2,2,1,2,1
1327,1,2,3,2,2,1,2,2
1328,1,2,3,2,2,1,2,3
1329,1,2,3,2,2,1,3,1
1330,1,2,3,2,2,1,3,2
1331,1,2,3,2,2,1,3,3
1332,1,2,3,2,2,2,1,1
1333,1,2,3,2,2,2,1,2
1334,1,2,3,2,2,2,1,3
1335,1,2,3,2,2,2,2,1
1336,1,2,3,2,2,2,2,2
1337,1,2,3,2,2,2,2,3
1338,1,2,3,2,2,2,3,1
1339,1,2,3,2,2,2,3,2
1340,1,2,3,2,2,2,3,3
1341,1,2,3,2,2,3,1,1
1342,1,2,3,2,2,3,1,2
1343,1,2,3,2,2,3,1,3
1344,1,2,3,2,2,3,2,1
1345,1,2,3,2,2,3,2,2
1346,1,2,3,2,2,3,2,3
1347,1,2,3,2,2,3,3,1
1348,1,2,3,2,2,3,3,2
1349,1,2,3,2,2,3,3,3
1350,1,2,3,2,3,1,1,1
1351,1,2,3,2,3,1,1,2
1352,1,2,3,2,3,1,1,3
1353,1,2,3,2,3,1,2,1
1354,1,2,3,2,3,1,2,2
1355,1,2,3,2,3,1,2,3
1356,1,2,3,2,3,1,3,1
1357,1,2,3,2,3,1,3,2
1358,1,2,3,2,3,1,3,3
1359,1,2,3,2,3,2,1,1
1360,1,2,3,2,3,2,1,2
1361,1,2,3,2,3,2,1,3
1362,1,2,3,2,3,2,2,1
1363,1,2,3,2,3,2,2,2
1364,1,2,3,2,3,2,2,3
1365,1,2,3,2,3,2,3,1
1366,1,2,3,2,3,2,3,2
1367,1,2,3,2,3,2,3,3
1368,1,2,3,2,3,3,1,1
1369,1,2,3,2,3,3,1,2
1370,1,2,3,2,3,3,1,3
1371,1,2,3,2,3,3,2,1
1372,1,2,3,2,3,3,2,2
1373,1,2,3,2,3,3,2,3
1374,1,2,3,2,3,3,3,1
1375,1,2,3,2,3,3,3,2
1376,1,2,3,2,3,3,3,3
1377,1,2,3,3,1,1,1,1
1378,1,2,3,3,1,1,1,2
1380,1,2,3,3,1,1,2,1
1381,1,2,3,3,1,1,2,2
1383,1,2,3,3,1,1,3,1
1384,1,2,3,3,1,1,3,2
1385,1,2,3,3,1,1,3,3
1386,1,2,3,3,1,2,1,1
1387,1,2,3,3,1,2,1,2
1389,1,2,3,3,1,2,2,1
1390,1,2,3,3,1,2,2,2
1392,1,2,3,3,1,2,3,1
1393,1,2,3,3,1,2,3,2
1394,1,2,3,3,1,2,3,3
1395,1,2,3,3,1,3,1,1
1396,1,2,3,3,1,3,1,2
1398,1,2,3,3,1,3,2,1
1399,1,2,3,3,1,3,2,2
1401,1,2,3,3,1,3,3,1
1402,1,2,3,3,1,3,3,2
1404,1,2,3,3,2,1,1,1
1405,1,2,3,3,2,1,1,2
1406,1,2,3,3,2,1,1,3
1407,1,2,3,3,2,1,2,1
1408,1,2,3,3,2,1,2,2
1409,1,2,3,3,2,1,2,3
1410,1,2,3,3,2,1,3,1
1411,1,2,3,3,2,1,3,2
1412,1,2,3,3,2,1,3,3
1413,1,2,3,3,2,2,1,1
1414,1,2,3,3,2,2,1,2
1415,1,2,3,3,2,2,1,3
1416,1,2,3,3,2,2,2,1
1417,1,2,3,3,2,2,2,2
1418,1,2,3,3,2,2,2,3
1419,1,2,3,3,2,2,3,1
1420,1,2,3,3,2,2,3,2
1421,1,2,3,3,2,2,3,3
1422,1,2,3,3,2,3,1,1
1423,1,2,3,3,2,3,1,2
1424,1,2,3,3,2,3,1,3
1425,1,2,3,3,2,3,2,1
1426,1,2,3,3,2,3,2,2
1427,1,2,3,3,2,3,2,3
1428,1,2,3,3,2,3,3,1
1429,1,2,3,3,2,3,3,2
1430,1,2,3,3,2,3,3,3
1431,1,2,3,3,3,1,1,1
1432,1,2,3,3,3,1,1,2
1433,1,2,3,3,3,1,1,3
1434,1,2,3,3,3,1,2,1
1435,1,2,3,3,3,1,2,2
1436,1,2,3,3,3,1,2,3
1437,1,2,3,3,3,1,3,1
1438,1,2,3,3,3,1,3,2
1439,1,2,3,3,3,1,3,3
1440,1,2,3,3,3,2,1,1
1441,1,2,3,3,3,2,1,2
1442,1,2,3,3,3,2,1,3
1443,1,2,3,3,3,2,2,1
1444,1,2,3,3,3,2,2,2
1445,1,2,3,3,3,2,2,3
1446,1,2,3,3,3,2,3,1
