,Unnamed: 1,vENO,vFBA1,vFBA2,vGAPD,vPGK,vPGMd,vPGMi,vTPI,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
4772,0,2.0402323395281685e-07,0.9999999887803483,2.320598731216825e-10,5.6884761460921565e-11,2.555747891570688e-11,5.547400949386337e-11,4.186392065815297e-09,1.344226930801943e-12,5.116079001415974e-12,2.1701759171482726e-14,1.633343532575565e-14,7.814069711607239e-15,1.0808245956241787e-15,3.873365408369782e-13,7.988858113051086e-16,2.3524826702781323e-10,7.057943554219362e-14,3.566454514754949e-15,5.524127916875872e-14,8.855073810425541e-15,1.2285777183723354e-08
4772,1,2.0402323395281685e-07,0.9999999887803483,2.320598731216825e-10,5.6884761460921565e-11,2.555747891570688e-11,5.547400949386337e-11,4.186392065815297e-09,1.344226930801943e-12,5.116079001415974e-12,2.1701759171482726e-14,1.633343532575565e-14,7.814069711607239e-15,1.0808245956241787e-15,3.873365408369782e-13,7.988858113051086e-16,2.3524826702781323e-10,7.057943554219362e-14,3.566454514754949e-15,5.524127916875872e-14,8.855073810425541e-15,1.2285777183723354e-08
4773,0,5.924350849946036e-07,0.9999999887803818,4.812134574076999e-11,3.057909803489298e-09,3.0375648729274e-10,4.2889992205289234e-11,2.655730633957983e-11,1.964095851938777e-08,1.4127893536240089e-11,6.362896736672826e-14,1.2109271017370568e-14,5.860552283705429e-16,3.602748652080596e-16,4.961110725209814e-12,1.9527051759186294e-12,1.9653944894786398e-10,1.194918347275789e-12,8.105578442624884e-16,8.5848500593783e-07,0.0,1.830980749673952e-14
4773,1,5.924350849946036e-07,0.9999999887803818,4.812134574076999e-11,3.057909803489298e-09,3.0375648729274e-10,4.2889992205289234e-11,2.655730633957983e-11,1.964095851938777e-08,1.4127893536240089e-11,6.362896736672826e-14,1.2109271017370568e-14,5.860552283705429e-16,3.602748652080596e-16,4.961110725209814e-12,1.9527051759186294e-12,1.9653944894786398e-10,1.194918347275789e-12,8.105578442624884e-16,8.5848500593783e-07,0.0,1.830980749673952e-14
4774,0,1.3765336638388943e-05,7.88541989657746e-10,6.568328560971822e-10,1.598151982831374e-06,5.360394104602196e-12,1.734761278813087e-08,1.001418228186199e-05,1.758882164944445e-08,7.474424067892492e-14,3.5328101834937525e-13,3.294848160540364e-14,3.9851755529196914e-14,1.801374326040298e-16,1.597218295350809e-10,1.3994167210274495e-09,1.446273088285448e-09,9.292012284883965e-11,3.4400074910500005e-13,4.375371463180114e-08,4.3549543329961684e-16,4.2620289839189725e-09
4774,1,1.3765336638388943e-05,7.88541989657746e-10,6.568328560971822e-10,1.598151982831374e-06,5.360394104602196e-12,1.734761278813087e-08,1.001418228186199e-05,1.758882164944445e-08,7.474424067892492e-14,3.5328101834937525e-13,3.294848160540364e-14,3.9851755529196914e-14,1.801374326040298e-16,1.597218295350809e-10,1.3994167210274495e-09,1.446273088285448e-09,9.292012284883965e-11,3.4400074910500005e-13,4.375371463180114e-08,4.3549543329961684e-16,4.2620289839189725e-09
4775,0,1.455414146011315e-09,0.9999999887803487,1.3180528405042607e-07,1.0417568894806202e-10,2.2989215881331526e-09,2.0521747468858307e-09,3.2687778446100396e-07,7.389908374289771e-05,5.004578664359226e-12,1.5205994521515106e-14,2.2528876311387103e-15,2.5395726562723525e-15,3.602748652080596e-16,1.233916716760502e-08,1.5977716226102171e-15,9.68145831319726e-09,5.89006648465733e-12,5.299427185788149e-13,2.187538450974289e-10,0.0,5.611444304023299e-10
4775,1,1.455414146011315e-09,0.9999999887803487,1.3180528405042607e-07,1.0417568894806202e-10,2.2989215881331526e-09,2.0521747468858307e-09,3.2687778446100396e-07,7.389908374289771e-05,5.004578664359226e-12,1.5205994521515106e-14,2.2528876311387103e-15,2.5395726562723525e-15,3.602748652080596e-16,1.233916716760502e-08,1.5977716226102171e-15,9.68145831319726e-09,5.89006648465733e-12,5.299427185788149e-13,2.187538450974289e-10,0.0,5.611444304023299e-10
4776,0,2.0023846306202842e-08,2.0967724210302492e-08,2.0859536333111364e-14,4.7054992650723587e-07,1.9155881111141615e-12,1.0900003102122527e-10,7.281848019835576e-07,2.4217676916344643e-12,2.1868850638201934e-13,1.02160662222218e-13,4.224164308385082e-16,2.5395726562723525e-15,3.602748652080596e-16,2.093129534530195e-10,5.979957026634365e-11,5.86885577260755e-09,1.2857192162781436e-11,6.387195812788408e-14,1.968255026147229e-09,0.0,1.0837575057320122e-09
4776,1,2.0023846306202842e-08,2.0967724210302492e-08,2.0859536333111364e-14,4.7054992650723587e-07,1.9155881111141615e-12,1.0900003102122527e-10,7.281848019835576e-07,2.4217676916344643e-12,2.1868850638201934e-13,1.02160662222218e-13,4.224164308385082e-16,2.5395726562723525e-15,3.602748652080596e-16,2.093129534530195e-10,5.979957026634365e-11,5.86885577260755e-09,1.2857192162781436e-11,6.387195812788408e-14,1.968255026147229e-09,0.0,1.0837575057320122e-09
4777,0,1.9774369168627665e-13,7.939023196352636e-10,6.612716173138174e-10,1.6376689176995618e-06,6.60463930232164e-12,8.757073902211006e-09,8.392909485242665e-06,1.8033861029270464e-08,1.0513475611980648e-13,1.7272828728322985e-14,2.6189818711987506e-14,3.477261021665221e-14,2.7020614890604466e-15,1.6373096823511617e-10,1.408873132375868e-09,1.4825194471876674e-09,9.526080904490522e-11,3.363815053689327e-13,7.391543773769531e-08,4.3549543329961684e-16,4.297876317389107e-09
4777,1,1.9774369168627665e-13,7.939023196352636e-10,6.612716173138174e-10,1.6376689176995618e-06,6.60463930232164e-12,8.757073902211006e-09,8.392909485242665e-06,1.8033861029270464e-08,1.0513475611980648e-13,1.7272828728322985e-14,2.6189818711987506e-14,3.477261021665221e-14,2.7020614890604466e-15,1.6373096823511617e-10,1.408873132375868e-09,1.4825194471876674e-09,9.526080904490522e-11,3.363815053689327e-13,7.391543773769531e-08,4.3549543329961684e-16,4.297876317389107e-09
4778,0,1.664496744349905e-13,0.9999999887803483,2.5630905942308266e-09,9.646314781172316e-07,1.0036631997407573e-11,5.681933070121065e-10,1.2593958612941842e-06,2.0461100151762454e-11,4.93106647160358e-12,3.321697832369805e-14,2.4077736557794967e-14,6.407537163517935e-14,4.143160949892685e-15,3.790455830473832e-12,5.706327223607919e-16,8.613508171247472e-10,5.428391940746875e-11,2.2857731208202173e-14,1.6940658945086007e-14,3.7742937552633456e-15,5.996023173723968e-09
4778,1,1.664496744349905e-13,0.9999999887803483,2.5630905942308266e-09,9.646314781172316e-07,1.0036631997407573e-11,5.681933070121065e-10,1.2593958612941842e-06,2.0461100151762454e-11,4.93106647160358e-12,3.321697832369805e-14,2.4077736557794967e-14,6.407537163517935e-14,4.143160949892685e-15,3.790455830473832e-12,5.706327223607919e-16,8.613508171247472e-10,5.428391940746875e-11,2.2857731208202173e-14,1.6940658945086007e-14,3.7742937552633456e-15,5.996023173723968e-09
4779,0,0.0015731295095452696,0.01797575625002129,5.813400868303887e-05,0.00020764589099567165,0.10765337891128199,0.003239455321996747,0.016278509013461975,8.093467070886317e-05,1.392920627426422,0.008885428373402072,0.0005041403809269461,0.003783425800656113,1.427561594161122e-07,2.6316463243982426e-05,1.6364414620533519e-09,5.036896372435737e-05,8.14650836236609e-07,0.0007608733358536099,0.03787313577622555,6.196615599766574e-09,0.00022228373255239566
4779,1,0.0015731295095452696,0.01797575625002129,5.813400868303887e-05,0.00020764589099567165,0.10765337891128199,0.003239455321996747,0.016278509013461975,8.093467070886317e-05,1.392920627426422,0.008885428373402072,0.0005041403809269461,0.003783425800656113,1.427561594161122e-07,2.6316463243982426e-05,1.6364414620533519e-09,5.036896372435737e-05,8.14650836236609e-07,0.0007608733358536099,0.03787313577622555,6.196615599766574e-09,0.00022228373255239566
