,,ENO_total,FBA1_total,FBA2_total,GAPD_total,PGK_total,PGMd_total,PGMi_total,TPI_total,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
128,1,9.054666139433456e-06,6.869552917551827e-11,1.5836595846297475e-05,1.1287472975295687e-05,0.0020690340722257744,4.0330375961028416e-07,1.2242405981784452e-06,3.855178639545966e-06,1.4259853304250928e-05,8.82166191394033e-05,0.001386995036549934,0.0005314231142634666,0.007736827343052675,0.0030487917594101896,0.015196601845712867,0.0003240192095142107,0.002539634215305991,8.224694045937299e-05,0.00017869671025910234,0.02389927837346835,8.256843421733518e-05
129,0,9.054362320275323e-06,9.876758179835129e-11,1.5838263199774817e-05,1.142178492937034e-05,0.0020287329842135046,4.0295192418230524e-07,1.2233917968848342e-06,3.836722364152605e-06,1.44515992437197e-05,8.821857600843122e-05,0.001390251421412256,0.0005321315315683216,0.00777316339548202,0.003048790747075407,0.015196601518599752,0.0003240253767190908,0.0025395022389967225,8.223672009784933e-05,0.00017869688749046526,0.023899269071443865,8.25686030014996e-05
129,1,9.054362320275323e-06,9.876758179835129e-11,1.5838263199774817e-05,1.142178492937034e-05,0.0020287329842135046,4.0295192418230524e-07,1.2233917968848342e-06,3.836722364152605e-06,1.44515992437197e-05,8.821857600843122e-05,0.001390251421412256,0.0005321315315683216,0.00777316339548202,0.003048790747075407,0.015196601518599752,0.0003240253767190908,0.0025395022389967225,8.223672009784933e-05,0.00017869688749046526,0.023899269071443865,8.25686030014996e-05
130,0,9.0543521880758e-06,9.883541753537213e-11,1.5928094285008465e-05,1.1448561949408388e-05,0.0020236913842560027,4.0290794005763386e-07,1.223284705351426e-06,3.5342789090337786e-06,1.4476214976826867e-05,8.821864131131654e-05,0.0013906582448685967,0.0005322188337363655,0.0077777101209665685,0.003048370842459483,0.015196580411413993,0.000323791141628425,0.00253947581623601,8.224025617026195e-05,0.00017869689339228875,0.02389926771915262,8.256862398122312e-05
130,1,9.0543521880758e-06,9.883541753537213e-11,1.5928094285008465e-05,1.1448561949408388e-05,0.0020236913842560027,4.0290794005763386e-07,1.223284705351426e-06,3.5342789090337786e-06,1.4476214976826867e-05,8.821864131131654e-05,0.0013906582448685967,0.0005322188337363655,0.0077777101209665685,0.003048370842459483,0.015196580411413993,0.000323791141628425,0.00253947581623601,8.224025617026195e-05,0.00017869689339228875,0.02389926771915262,8.256862398122312e-05
131,0,9.054411995230578e-06,8.277142184777017e-11,1.58361462316076e-05,1.1339141351588518e-05,0.002053350725801432,4.031673131628238e-07,1.2239118029268974e-06,3.855478521044458e-06,1.433360597796287e-05,8.821825599588698e-05,0.0013882631460283186,0.0005316992690212805,0.0077509654462932075,0.0030487915372047025,0.015196601944795404,0.000324019359284246,0.002539583446281485,8.224295920480256e-05,0.000178696858453881,0.023899274799746104,8.256849931465161e-05
131,1,9.054411995230578e-06,8.277142184777017e-11,1.58361462316076e-05,1.1339141351588518e-05,0.002053350725801432,4.031673131628238e-07,1.2239118029268974e-06,3.855478521044458e-06,1.433360597796287e-05,8.821825599588698e-05,0.0013882631460283186,0.0005316992690212805,0.0077509654462932075,0.0030487915372047025,0.015196601944795404,0.000324019359284246,0.002539583446281485,8.224295920480256e-05,0.000178696858453881,0.023899274799746104,8.256849931465161e-05
132,0,9.041228992755016e-06,7.923816926872165e-11,1.583916571553574e-05,1.1318696817753024e-05,0.002059309308205557,4.0330368701668634e-07,1.2242724828977512e-06,3.836062115812226e-06,1.4304681900524452e-05,8.830328836059115e-05,0.0013877075880270933,0.0005315942231617984,0.0077455864222051906,0.0030487911760461324,0.015196601319418392,0.0003240250387552117,0.0025396035328755008,8.224467118894033e-05,0.00017870454314004058,0.023899276201849447,8.256839955773222e-05
132,1,9.041228992755016e-06,7.923816926872165e-11,1.583916571553574e-05,1.1318696817753024e-05,0.002059309308205557,4.0330368701668634e-07,1.2242724828977512e-06,3.836062115812226e-06,1.4304681900524452e-05,8.830328836059115e-05,0.0013877075880270933,0.0005315942231617984,0.0077455864222051906,0.0030487911760461324,0.015196601319418392,0.0003240250387552117,0.0025396035328755008,8.224467118894033e-05,0.00017870454314004058,0.023899276201849447,8.256839955773222e-05
133,0,9.041199165244557e-06,9.161949856263597e-11,1.5906335419101036e-05,1.1394154892933196e-05,0.002037483905474771,4.031121365323425e-07,1.2238094783392156e-06,3.8305351876098974e-06,1.4408642458024916e-05,8.830345517814536e-05,0.0013894718981432737,0.0005319770915208725,0.007765264695594422,0.003048311797263257,0.015196586283593235,0.0003239759116651884,0.002539529317402895,8.224271101424001e-05,0.00017870458095844453,0.023899271088440307,8.256849155330449e-05
